id|room|start date|end date|request id
1|L0|2016-02-07|2016-02-10|1
2|L0|2016-03-13|2016-03-21|2
3|D2|2016-02-19|2016-02-20|3
4|X0|2016-01-22|2016-01-26|4
5|L0|2016-02-22|2016-02-26|5
6|N0|2016-03-14|2016-03-25|6
7|N1|2016-03-14|2016-03-25|6
8|N2|2016-03-14|2016-03-25|6
9|N0|2016-01-22|2016-01-24|7
10|N1|2016-01-22|2016-01-24|7
11|N2|2016-01-22|2016-01-24|7
12|L6|2016-03-02|2016-03-03|8
13|D1|2016-02-01|2016-02-03|9
14|X23|2016-03-17|2016-03-20|10
15|X24|2016-03-17|2016-03-20|10
16|D0|2016-03-16|2016-03-19|11
17|D0|2016-02-02|2016-02-08|12
18|D4|2016-02-02|2016-02-08|12
19|L1|2016-02-07|2016-02-11|13
20|S11|2016-03-19|2016-03-21|14
21|S12|2016-03-19|2016-03-21|14
22|S13|2016-03-19|2016-03-21|14
23|D0|2016-01-10|2016-01-11|15
24|L0|2016-03-22|2016-03-23|16
25|X0|2016-01-30|2016-02-08|17
26|X1|2016-01-30|2016-02-08|17
27|S3|2016-02-13|2016-02-16|18
28|S4|2016-02-13|2016-02-16|18
29|S5|2016-02-13|2016-02-16|18
30|S6|2016-02-13|2016-02-16|18
31|N0|2016-01-28|2016-02-05|19
32|N1|2016-01-28|2016-02-05|19
33|N2|2016-01-28|2016-02-05|19
34|N3|2016-01-28|2016-02-05|19
35|S61|2016-03-02|2016-03-06|20
36|S62|2016-03-02|2016-03-06|20
37|S71|2016-03-02|2016-03-06|20
38|D2|2016-03-26|2016-03-28|21
39|L0|2016-03-23|2016-03-26|22
40|N0|2016-01-06|2016-01-08|23
41|N1|2016-01-06|2016-01-08|23
42|L1|2016-03-22|2016-03-27|24
43|L2|2016-03-22|2016-03-27|24
44|S0|2016-03-12|2016-03-14|25
45|S1|2016-03-12|2016-03-14|25
46|L0|2016-01-04|2016-01-08|26
47|X0|2016-02-26|2016-02-28|27
48|N0|2016-01-12|2016-01-19|28
49|N1|2016-01-12|2016-01-19|28
50|N2|2016-01-12|2016-01-19|28
51|N3|2016-01-12|2016-01-19|28
52|N4|2016-01-12|2016-01-19|28
53|N6|2016-03-09|2016-03-13|29
54|N7|2016-03-09|2016-03-13|29
55|N30|2016-03-09|2016-03-13|29
56|N31|2016-03-09|2016-03-13|29
57|N32|2016-03-09|2016-03-13|29
58|N33|2016-03-09|2016-03-13|29
59|N71|2016-03-09|2016-03-13|29
60|N72|2016-03-09|2016-03-13|29
61|L0|2016-03-03|2016-03-07|30
62|X1|2016-03-02|2016-03-03|31
63|L0|2016-01-01|2016-01-04|32
64|L1|2016-01-01|2016-01-04|32
65|L12|2016-03-13|2016-03-16|33
66|X20|2016-02-27|2016-02-29|34
67|X33|2016-02-27|2016-02-29|34
68|D5|2016-02-12|2016-02-15|35
69|D12|2016-02-12|2016-02-15|35
70|N0|2016-03-02|2016-03-10|37
71|N1|2016-03-02|2016-03-10|37
72|N2|2016-03-02|2016-03-10|37
73|N3|2016-03-02|2016-03-10|37
74|N4|2016-03-02|2016-03-10|37
