dest room|bill room|date|time|#orders|menu id
L0|L0|2016-02-09|10:15:00|3|6
restaurant|L0|2016-02-07|11:35:00|5|8
L0|L0|2016-03-17|06:54:00|5|12
restaurant|L0|2016-03-15|17:53:00|4|7
L0|L0|2016-03-16|14:54:00|5|7
restaurant|L0|2016-03-15|19:32:00|1|11
restaurant|N1|2016-03-16|07:52:00|1|9
N2|N2|2016-03-22|10:04:00|2|8
L1|L1|2016-02-08|13:17:00|1|2
S61|S61|2016-03-04|22:34:00|3|10
S62|S62|2016-03-05|01:36:00|3|10
restaurant|L1|2016-03-26|02:08:00|4|0
restaurant|L2|2016-03-24|16:01:00|4|9
L2|L2|2016-03-23|08:58:00|1|0
restaurant|L2|2016-03-22|02:12:00|5|14
restaurant|L0|2016-03-06|01:40:00|5|5
restaurant|L0|2016-03-05|10:10:00|3|6
restaurant|L1|2016-01-03|06:33:00|1|11
S0|S0|2016-01-13|07:28:00|5|14
S2|S2|2016-01-14|02:43:00|5|6
D2|D2|2016-03-04|19:31:00|1|1
restaurant|D3|2016-03-06|23:06:00|5|6
L1|L1|2016-01-03|00:02:00|4|8
L1|L1|2016-04-05|01:44:00|4|10
restaurant|L1|2016-04-05|15:22:00|3|3
restaurant|L1|2016-03-28|03:20:00|4|11
restaurant|L1|2016-04-02|00:09:00|5|4
restaurant|L1|2016-04-01|07:28:00|2|0
restaurant|L1|2016-04-01|01:24:00|2|6
L2|L2|2016-04-01|20:58:00|2|7
L2|L2|2016-03-31|07:44:00|5|14
L2|L2|2016-03-31|23:38:00|1|1
restaurant|L2|2016-03-28|00:23:00|3|7
restaurant|L2|2016-04-02|16:25:00|2|15
L2|L2|2016-04-03|10:21:00|1|13
restaurant|S0|2016-02-14|03:15:00|4|13
restaurant|S0|2016-02-22|19:03:00|1|13
restaurant|S0|2016-02-16|00:00:00|5|5
S2|S2|2016-02-25|12:54:00|3|9
restaurant|S2|2016-02-23|18:59:00|4|14
L1|L1|2016-03-22|11:47:00|2|9
restaurant|L8|2016-03-21|00:10:00|3|4
restaurant|L8|2016-03-22|22:18:00|3|12
N0|N0|2016-02-22|00:25:00|3|13
restaurant|N1|2016-02-23|23:24:00|4|6
restaurant|L0|2016-02-15|13:20:00|2|12
restaurant|L0|2016-02-20|14:28:00|4|5
L0|L0|2016-02-19|14:47:00|1|14
restaurant|S2|2016-01-24|21:56:00|4|9
restaurant|X1|2016-02-18|18:41:00|3|4
L1|L1|2016-03-01|22:56:00|3|1
X2|X2|2016-01-13|10:41:00|1|14
restaurant|X3|2016-01-13|01:21:00|1|5
restaurant|S1|2016-02-03|04:40:00|5|1
D1|D1|2016-02-05|23:21:00|3|4
restaurant|S0|2016-04-01|07:14:00|4|4
restaurant|L2|2016-02-08|10:38:00|1|7
restaurant|L2|2016-02-13|01:24:00|3|11
restaurant|L2|2016-02-09|07:28:00|5|12
S42|S42|2016-02-01|11:38:00|3|3
restaurant|S43|2016-02-04|00:17:00|4|10
restaurant|S5|2016-03-13|06:31:00|3|6
restaurant|S8|2016-01-12|14:02:00|4|4
restaurant|S8|2016-01-09|05:55:00|1|6
restaurant|S9|2016-01-10|15:31:00|3|10
L0|L0|2016-01-25|07:22:00|4|2
restaurant|L0|2016-01-23|14:08:00|4|5
restaurant|L0|2016-01-24|11:41:00|2|10
S14|S14|2016-03-10|12:03:00|5|10
S15|S15|2016-03-10|00:37:00|5|13
restaurant|S16|2016-03-11|18:17:00|1|7
restaurant|L2|2016-03-17|10:26:00|4|8
restaurant|L1|2016-02-17|22:57:00|5|14
L3|L3|2016-03-27|05:15:00|1|2
restaurant|L3|2016-03-27|03:47:00|4|15
restaurant|D1|2016-02-23|08:06:00|5|12
restaurant|S4|2016-01-15|08:42:00|1|14
restaurant|S4|2016-01-18|17:02:00|5|15
S4|S4|2016-01-13|01:05:00|4|6
restaurant|S4|2016-01-18|01:25:00|4|13
restaurant|S6|2016-01-13|20:56:00|2|6
restaurant|S6|2016-01-15|12:12:00|2|7
L12|L12|2016-03-28|05:07:00|4|1
S11|S11|2016-01-14|17:30:00|5|1
S13|S13|2016-01-13|16:42:00|4|3
restaurant|S16|2016-02-13|04:48:00|3|5
L0|L0|2016-03-09|09:03:00|1|11
L0|L0|2016-03-07|10:43:00|4|4
L0|L0|2016-03-06|08:32:00|4|2
restaurant|L0|2016-03-08|00:02:00|2|10
S14|S14|2016-01-14|09:24:00|2|8
